utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2465482,Hello and welcome to this podcast from the BBC World Service.,0,4,Not Checkworthy
2465483,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,1,4,Not Checkworthy
2465484,Podcasts from the BBC World Service are supported by advertising.,1,4,Not Checkworthy
2465485,How does AI even work?,1,4,Not Checkworthy
2465486,Where does creativity come from?,1,3,Not Checkworthy
2465487,What's the secret to living longer?,0,3,Not Checkworthy
2465488,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,1,3,Not Checkworthy
2465489,"some of the world's greatest thinkers will surprise, challenge and even change you.",1,3,Not Checkworthy
2465490,Listen to TED Radio Hour wherever you get your podcasts.,0,4,Not Checkworthy
2465491,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",0,4,Not Checkworthy
2465492,"So if you were going to try just one thing to improve your mental and physical wellbeing, what should just one thing be?",0,3,Not Checkworthy
2465493,Perhaps the martial art of Tai Chi to improve your immune system.,0,4,Not Checkworthy
2465494,Maybe a few nuts to slow ageing.,1,2,Not Checkworthy
2465495,Or how about cleaning your teeth to give your brain a boost?,1,1,Checkworthy
2465496,"I'm Dr Michael Moseley and this podcast from the BBC World Service is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",1,3,Not Checkworthy
2465497,"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.",2,1,Checkworthy
2465498,"But if, like me, you're able to eat nuts, this is definitely one thing you should start doing today.",0,4,Not Checkworthy
2465499,nuts are amazing little nutritional powerhouses.,1,2,Not Checkworthy
2465500,"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.",0,2,Not Checkworthy
2465501,Eating nuts has even been linked to a longer life.,2,2,Checkworthy
