utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2290520,"Hey, hey, and welcome folks, this is The Ben Shapiro Show.",Not Checkworthy,0,0,,
2290521,"Yeah, it's a Sunday, but you know what we've decided to start doing on Sundays?",Not Checkworthy,0,0,,
2290522,We're going to drop you a little bit of mailbag wisdom.,Not Checkworthy,0,0,,
2290523,So we're going to answer the questions we receive throughout the week from you.,Not Checkworthy,0,0,,
2290524,"Now, you have to be a subscriber in order to have those questions answered, which is why you should go subscribe right now at dailywireplus.com.",Not Checkworthy,0,0,,
2290525,Maybe your question will be the next one I answer.,Not Checkworthy,0,0,,
2290526,"Corey says, Ben, I live in Washington State, where the legislature has recently passed bills allowing gender-affirming care of minors without parental consent.",Checkworthy,0,0,,
2290527,"I'm bothered that the Washington House and Senate Republicans don't point out the horrible truth of what's actually happening, such as the sterilization and removal of healthy body parts of minors, as Matt Walsh does.",Checkworthy,0,0,,
2290528,"Instead, they use the left's euphemism of gender-affirming care.",Checkworthy,0,0,,
2290529,It seems to me they're losing the debate before it begins by allowing the truth to be obfuscated.,Not Checkworthy,0,0,,
2290530,Is there any strategic reason for Republicans to speak the gender-affirming language?,Not Checkworthy,0,0,,
2290531,Not one iota of a reason.,Not Checkworthy,0,0,,
2290532,The left is so fond of euphemisms.,Not Checkworthy,0,0,,
2290533,It's euphemism after euphemism.,Not Checkworthy,0,0,,
2290534,"And gender-affirming care replaces the just-as-euphemistic sex-change surgery, because you can't actually change your sex.",Not Checkworthy,0,0,,
2290535,It's euphemism upon euphemism.,Not Checkworthy,0,0,,
2290536,It started off with sex-change surgery.,Checkworthy,0,0,,
2290537,Then it was hormone replacement therapy.,Checkworthy,0,0,,
2290538,Now it's gender-affirming care.,Not Checkworthy,0,0,,
2290539,"Again, all of this is euphemism.",Not Checkworthy,0,0,,
2290540,"What it should be is sex-denying treatment, because that's what it is.",Not Checkworthy,0,0,,
2290541,You are denying your own actual biological sex by altering your body and your hormones.,Not Checkworthy,0,0,,
2290542,That is what you are doing.,Not Checkworthy,0,0,,
2290543,The right should never give on this point.,Not Checkworthy,0,0,,
2290544,"I mean, it's ridiculous.",Not Checkworthy,0,0,,
2290545,"We do the same thing with abortion, by the way, the right.",Not Checkworthy,0,0,,
2290546,"Even the term abortion or termination of a pregnancy, it is the killing of the unborn.",Not Checkworthy,0,0,,
2290547,That is what you are doing.,Not Checkworthy,0,0,,
2290548,I can make the argument as to what the status of the unborn is at any given point.,Not Checkworthy,0,0,,
2290549,But the idea that you are not killing the thing that is unborn is obviously untrue.,Not Checkworthy,0,0,,
2290550,That is the thing that is happening.,Not Checkworthy,0,0,,
2290551,"Jeremy says, What do you think the U.S. could do to win back the trust of its allies?",Not Checkworthy,0,0,,
2290552,"Also, assuming France truly decides to become politically non-aligned and move away from the United States, what do you think are the chances of France becoming an independent superpower?",Not Checkworthy,0,0,,
2290553,"A very, very low.",Not Checkworthy,0,0,,
2290554,France does not have the ability to become an independent superpower.,Checkworthy,0,0,,
2290555,"Now, France has the most durability of any other country on the continent.",Checkworthy,0,0,,
2290556,"It's like Germany and France are the two most durable countries on the continent of Europe, mainly because the reproduction rate in France is actually fairly decent.",Checkworthy,0,0,,
2290557,Like they're still reproducing at a kind of normal rate.,Not Checkworthy,0,0,,
2290558,"They're like 1.9 births per woman, which is fairly high by sort of Western standards, even though it's below replacement rates.",Checkworthy,0,0,,
2290559,"Right now, Germany is like 1.6.",Checkworthy,0,0,,
2290560,The United States is kind of around the German number.,Checkworthy,0,0,,
2290561,"We're like 1.8, 1.782.",Not Checkworthy,0,0,,
2290562,Somewhere in there.,Not Checkworthy,0,0,,
2290563,So France is the healthiest in terms of demographics.,Not Checkworthy,0,0,,
2290564,"They're also importing a huge young population from northern Africa, right, the big Moroccan population coming in, Libyan population coming into France as well.",Checkworthy,0,0,,
2290565,Their economy doesn't allow them to really grow at extraordinarily rapid rates.,Checkworthy,0,0,,
2290566,"They do obviously have nuclear weapons, the French, and they have a not insignificant military.",Checkworthy,0,0,,
2290567,But the idea they're ever an independent sort of power is wrong.,Not Checkworthy,0,0,,
2290568,"The idea of an aligned Europe that acts as a counterweight to both the United States and China has long been a European dream, but they seem unwilling to actually pay the freight for that.",Not Checkworthy,0,0,,
2290569,"Craig says, Ben, I want to ask about two groups of voters when comparing the 2016 and 2020 presidential elections.",Not Checkworthy,0,0,,
2290570,"In 2016, Trump won almost 63 million votes.",Checkworthy,0,0,,
2290571,"In 2020, he won 74.25 million votes.",Checkworthy,0,0,,
2290572,Where did the 11.25 million votes come from for Trump who got mobilized?,Checkworthy,0,0,,
2290573,"On the flip side, Hillary won about 65 million votes in 2016.",Checkworthy,0,0,,
2290574,Biden won about 81.25 million new votes in 2020.,Checkworthy,0,0,,
2290575,Do you think media manipulation and hatred of Hillary explains the 16 million new votes that went to Biden?,Checkworthy,0,0,,
2290576,That seems like far too high a number to blame on low information voter.,Checkworthy,0,0,,
2290577,"Well, the answer is that the 2020 election cycle had just a massive voter turnout.",Checkworthy,0,0,,
2290578,"I mean, the voter turnout rate had the highest voter turnout of the 21st century.",Checkworthy,0,0,,
2290579,At 67% of citizens aged 18 and older voted in the election in 2020.,Checkworthy,0,0,,
2290580,"In 2016, the voter turnout rate was like 59%.",Checkworthy,0,0,,
2290581,So that is a much lower number.,Checkworthy,0,0,,
2290582,"You had 59% of a voting age population of 249 million in 2016, so 60%.",Checkworthy,0,0,,
2290583,You had almost a two-thirds voter turnout rate with an increased population of 258 million who are eligible to vote.,Checkworthy,0,0,,
2290584,That's the answer.,Not Checkworthy,0,0,,
2290585,"The answer is every election, there's a growing population in the United States.",Checkworthy,0,0,,
2290586,"And 2020, because of all the mail-in ballots and all the you-can-vote-five-months-in-advance garbage, because of that, it was the highest voter turnout rate in modern American history.",Checkworthy,0,0,,
2290587,"Again, we have not seen a voter turnout rate that high pretty much ever.",Checkworthy,0,0,,
2290588,Pretty much ever.,Not Checkworthy,0,0,,
2290589,"Turnout as a percentage of eligible voters, I mean, back in 1980, it was like 54%.",Checkworthy,0,0,,
2290590,And then it stayed in the 50s all the way up to 2004.,Checkworthy,0,0,,
2290591,We got 60%.,Checkworthy,0,0,,
2290592,"Then in 2008, it was 62.5%.",Checkworthy,0,0,,
2290593,Back down to the 50s for 2012 and 2016.,Checkworthy,0,0,,
2290594,And then 67% in 2020.,Checkworthy,0,0,,
