utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2465657,Hello and welcome to this podcast from the BBC World Service.,Not Checkworthy,3,5,Not Checkworthy,True
2465658,Please let us know what you think and tell other people about us on social media.,Not Checkworthy,2,3,Not Checkworthy,True
2465659,Podcasts from the BBC World Service are supported by advertising.,Not Checkworthy,1,4,Not Checkworthy,True
2465660,How does AI even work?,Not Checkworthy,2,4,Not Checkworthy,True
2465661,Where does creativity come from?,Not Checkworthy,1,3,Not Checkworthy,True
2465662,What's the secret to living longer?,Not Checkworthy,3,3,Checkworthy,False
2465663,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,Not Checkworthy,3,3,Checkworthy,False
2465664,"They will surprise, challenge and even change you.",Not Checkworthy,1,3,Not Checkworthy,True
2465665,Listen to NPR's TED Radio Hour wherever you get your podcasts.,Not Checkworthy,1,3,Not Checkworthy,True
2465666,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",Not Checkworthy,1,3,Not Checkworthy,True
2465667,"So if you were going to try just one thing to improve your mental and physical well-being, what should it be?",Not Checkworthy,1,4,Not Checkworthy,True
2465668,Perhaps the martial art of Tai Chi to improve your immune system.,Not Checkworthy,1,3,Not Checkworthy,True
2465669,Maybe a few nuts to slow aging.,Not Checkworthy,0,3,Not Checkworthy,True
2465670,Or how about cleaning your teeth to give your brain a boost?,Not Checkworthy,0,3,Not Checkworthy,True
2465671,"I'm Dr Michael Moseley and this is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",Not Checkworthy,2,2,Checkworthy,False
2465672,"More about those and the sort of benefits you get from doing them in our episodes on Intelligent Exercises and Eccentric Exercises, which are both available on BBC Sounds.",Not Checkworthy,3,2,Checkworthy,False
2465673,"God, that's knackering.",Not Checkworthy,2,3,Not Checkworthy,True
2465674,"But I haven't tried using weights before, and I had to borrow these from one of my sons.",Checkworthy,1,4,Not Checkworthy,False
2465675,Woo!,Not Checkworthy,1,4,Not Checkworthy,True
2465676,This is tough.,Not Checkworthy,2,3,Not Checkworthy,True
2465677,"For me, when I think of weightlifting, I get this image of bodybuilders pumping huge barbells in the gym, and that really is not my style.",Not Checkworthy,3,3,Checkworthy,False
2465678,"Right, done.",Not Checkworthy,1,4,Not Checkworthy,True
2465679,"Recent evidence suggests that muscle-strengthening exercises for only a few minutes a day can confer some remarkable health benefits, boosting your immune system and even your brain.",Checkworthy,2,2,Checkworthy,True
2465680,It is counterintuitive.,Not Checkworthy,1,3,Not Checkworthy,True
