utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2458586,Coming up on this episode of The Doctor's Pharmacy.,Not Checkworthy,1,6,Not Checkworthy,True
2458587,"If your cortisol is high in the afternoon or high in the evening, you might feel tired and wired.",Not Checkworthy,4,2,Checkworthy,False
2458588,"You want to sleep, but you can't.",Not Checkworthy,3,3,Checkworthy,False
2458589,"Or you might fall asleep because you're really tired, and then you wake up in the middle of the night.",Not Checkworthy,1,2,Not Checkworthy,True
2458590,"Hi, everyone.",Not Checkworthy,1,3,Not Checkworthy,True
2458591,It's Dr. Mark.,Not Checkworthy,1,4,Not Checkworthy,True
2458592,"As a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables, it helps me find the most effective path to health and healing for my patients.",Not Checkworthy,2,2,Checkworthy,False
2458593,"But such extensive testing can be very complicated and time-consuming for both the practitioner, somebody like me, and our patients.",Not Checkworthy,2,2,Checkworthy,False
2458594,But lab ordering became very quick and painless since I started using Rupa Health.,Checkworthy,3,1,Checkworthy,True
2458595,"I can order, track, and get results from over 35 different lab companies within a few clicks in one lab portal.",Checkworthy,0,4,Not Checkworthy,False
2458596,And this means one invoice for all labs paid online up front.,Checkworthy,1,3,Not Checkworthy,False
2458597,"Plus, patients get practitioner pricing and receive full patient support through easier, personalized collection instructions, automated follow-up, super bills, and answers to testing questions, and so much more.",Checkworthy,0,2,Not Checkworthy,False
2458598,"And best of all, it's free for practitioners.",Checkworthy,2,1,Checkworthy,True
2458599,So sign up free today.,Not Checkworthy,0,3,Not Checkworthy,True
2458600,You can find out more information by going to rupahealth.com.,Not Checkworthy,1,2,Not Checkworthy,True
2458601,That's R-U-P-A health dot com.,Not Checkworthy,0,2,Not Checkworthy,True
2458602,"I recently found a new drink that fits into my Pegan diet, and it's honestly something I always look forward to when I need a nourishing pick-me-up.",Checkworthy,1,2,Not Checkworthy,False
2458603,It's Sun Goddess Matcha Green Tea from Peak.,Not Checkworthy,0,2,Not Checkworthy,True
2458604,"It's the best tasting, smoothest mixing matcha I ever tried.",Checkworthy,0,3,Not Checkworthy,False
2458605,"I'm sure you heard me talk a lot about using food as medicine, and matcha is a great example of this.",Checkworthy,1,2,Not Checkworthy,False
2458606,"It's full of polyphenols, which are essentially powerful plant chemicals that are good for your gut bugs, they're great for detoxification, for cancer prevention, and so many great antioxidants that support better aging, a balanced blood sugar digestion, and a good immune system.",Not Checkworthy,2,1,Checkworthy,False
2458607,I love blending the Sun Goddess Matcha powder with some hemp or oat milk into a creamy latte as part of my morning ritual.,Checkworthy,0,4,Not Checkworthy,False
2458608,"But I've also used it in my recipes like matcha poppy bread or various smoothies, and it works great every time.",Checkworthy,0,4,Not Checkworthy,False
2458609,"It's also the only matcha that's 100% organic, ceremonial grade, and quadruple toxin screened for purity.",Checkworthy,3,1,Checkworthy,True
2458610,Matcha makes a great alternative to coffee because it provides sustained clean energy without the jitters.,Not Checkworthy,3,1,Checkworthy,False
2458611,"L-theanine is a powerful amino acid in matcha that helps you feel calm, focused, and clear",Not Checkworthy,2,1,Checkworthy,False
2458612,so you get a boost without the crash.,Not Checkworthy,2,2,Checkworthy,False
2458613,Peak Sun Goddess Matcha actually contains more theanine chlorophyll because they shade their matcha plants 35% longer than other brands.,Checkworthy,3,0,Checkworthy,True
2458614,I really do feel awake and focused and balanced after enjoying my matcha every morning.,Not Checkworthy,0,3,Not Checkworthy,True
2458615,"Right now, you can take advantage of their limited time special offer on your first month's supply of Peak Sun Goddess Matcha.",Not Checkworthy,1,1,Checkworthy,False
2458616,Just head over to peaklife.com for 15% off and free shipping on your first month's supply.,Checkworthy,0,3,Not Checkworthy,False
2458617,You won't find a better deal anywhere.,Not Checkworthy,1,2,Not Checkworthy,True
2458618,"Now, let's get back to this week's episode of The Doctor's Pharmacy.",Not Checkworthy,1,1,Checkworthy,False
2458619,Welcome to The Doctor's Pharmacy.,Not Checkworthy,0,2,Not Checkworthy,True
2458620,I'm Dr. Mark Hyman.,Not Checkworthy,0,3,Not Checkworthy,True
2458621,That's pharmacy with an F in place for conversations that matter.,Not Checkworthy,0,2,Not Checkworthy,True
2458622,"Today, I'm bringing you a health bite to improve your health because taking small steps every day can lead to significant change over time.",Not Checkworthy,1,2,Not Checkworthy,True
2458623,"Today, we're going to talk about sleep and not just sleep problems in general, but why we may wake up between 1 and 4 in the morning and how you can fix that because a lot of times people have restless sleep.",Not Checkworthy,0,3,Not Checkworthy,True
