utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2465095,Hello and welcome to this podcast from the BBC World Service.,Not Checkworthy,0,1,Not Checkworthy,True
2465096,Please let us know what you think and tell other people about us on social media.,Not Checkworthy,0,1,Not Checkworthy,True
2465097,Podcasts from the BBC World Service are supported by advertising.,Not Checkworthy,1,0,Checkworthy,False
2465098,How does AI even work?,Not Checkworthy,1,0,Checkworthy,False
2465099,Where does creativity come from?,Not Checkworthy,1,0,Checkworthy,False
2465100,What's the secret to living longer?,Not Checkworthy,1,0,Checkworthy,False
2465101,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,Not Checkworthy,1,0,Checkworthy,False
2465102,"They will surprise, challenge and even change you.",Not Checkworthy,1,0,Checkworthy,False
2465103,Listen to NPR's TED Radio Hour wherever you get your podcasts.,Not Checkworthy,1,0,Checkworthy,False
2465104,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",Not Checkworthy,1,0,Checkworthy,False
2465105,"So if you were going to try just one thing to improve your mental and physical well-being, what should it be?",Not Checkworthy,1,0,Checkworthy,False
2465106,Perhaps the martial art of Tai Chi to improve your immune system.,Not Checkworthy,1,0,Checkworthy,False
2465107,Maybe a few nuts to slow aging.,Not Checkworthy,1,0,Checkworthy,False
2465108,Or how about cleaning your teeth to give your brain a boost?,Not Checkworthy,0,1,Not Checkworthy,True
2465109,"I'm Dr Michael Moseley and this is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",Not Checkworthy,0,0,,
2465110,I do a lot of writing in my day job as a journalist and an author.,Not Checkworthy,0,0,,
2465111,"But today, sitting at my computer, I'm going to try something very different.",Not Checkworthy,0,0,,
2465112,What I'm writing now is not for publication or for sharing with anyone else.,Not Checkworthy,0,0,,
2465113,"Now it's called expressive writing and despite the name, it can be done with pen and paper or on the computer as I'm doing now.",Checkworthy,0,0,,
2465114,"The idea is you put aside 15 minutes to write about your deepest emotions and the thoughts you have about the things that are keeping you up at night, worrying you.",Not Checkworthy,0,0,,
2465115,Studies have shown that doing this can have some surprising health benefits.,Not Checkworthy,0,0,,
2465116,It can improve your sleep.,Not Checkworthy,0,0,,
2465117,"It has a positive impact on many physical ailments like asthma, arthritis.",Not Checkworthy,0,0,,
2465118,It's even been shown to improve the well-being of breast cancer patients.,Checkworthy,0,0,,
2465119,It may even enhance your brain power.,Not Checkworthy,0,0,,
2465120,"It's supposed to be particularly effective if you've got a lot on your mind, like Julie from Hull.",Not Checkworthy,0,0,,
2465121,She works in the NHS and is very busy.,Checkworthy,0,0,,
2465122,I think that picking up the pen or the keyboard is just one thing that will give her health a boost.,Not Checkworthy,0,0,,
2465123,"Hi, Julie.",Not Checkworthy,0,0,,
2465124,"Hi, Michael.",Not Checkworthy,0,0,,
2465125,"So I understand you're a bit like me, a bit of a warrior.",Not Checkworthy,0,0,,
2465126,How often do you find you just can't stop thinking about something?,Not Checkworthy,0,0,,
2465127,It's usually most days at the moment.,Not Checkworthy,0,0,,
2465128,I think it's due to the fact that I'm just so busy and there is just so much to do during the day.,Not Checkworthy,0,0,,
2465129,My mind is just full.,Not Checkworthy,0,0,,
2465130,What work do you do?,Not Checkworthy,0,0,,
2465131,I work for the NHS.,Checkworthy,0,0,,
2465132,"Right, so it's pretty stressful at the best of times.",Not Checkworthy,0,0,,
2465133,"It's very challenging at the moment, yes.",Not Checkworthy,0,0,,
2465134,"I work in a non-clinical role, so I'm not patient-facing.",Not Checkworthy,0,0,,
2465135,"But even so, there is a lot to do on a day-to-day basis.",Not Checkworthy,0,0,,
2465136,"And then when we finish our work, there's obviously the challenges of running a family in a home as well.",Not Checkworthy,0,0,,
2465137,So how many kids have you got?,Checkworthy,0,0,,
2465138,I've just got one boy.,Not Checkworthy,0,0,,
2465139,He's 14.,Not Checkworthy,0,0,,
2465140,Those are the stressful years.,Not Checkworthy,0,0,,
2465141,I do remember they become challenging.,Not Checkworthy,0,0,,
2465142,"And you also worry about them, don't you?",Not Checkworthy,0,0,,
2465143,Absolutely.,Not Checkworthy,0,0,,
2465144,They're at such a critical stage in their lives and you worry how that is all going to end up.,Not Checkworthy,0,0,,
2465145,Absolutely.,Not Checkworthy,0,0,,
2465146,"All I can say is, on the whole, they turn out well.",Not Checkworthy,0,0,,
2465147,But it doesn't feel like it at the time.,Not Checkworthy,0,0,,
2465148,Thank you.,Not Checkworthy,0,0,,
2465149,That's good to know.,Not Checkworthy,0,0,,
2465150,"Well, I'm going to ask you to set aside 15 minutes on three separate occasions over the next week to write down your thoughts and feelings.",Not Checkworthy,0,0,,
2465151,"This sort of expressive writing has all sorts of benefits for your mood, your immune system, and even your memory.",Not Checkworthy,0,0,,
2465152,And you should start to feel the benefits within a week.,Not Checkworthy,0,0,,
2465153,Sounds good.,Not Checkworthy,0,0,,
2465154,I'll give it a go.,Not Checkworthy,0,0,,
2465155,I've asked Julie to write down her thoughts over the next week.,Not Checkworthy,0,0,,
2465156,"And that's because expressive writing can be surprisingly beneficial for your brain, your wellbeing, and your life.",Not Checkworthy,0,0,,
2465157,"Now, you might think that focusing on things that have gone wrong and writing about them would make things worse.",Not Checkworthy,0,0,,
2465158,But the opposite seems to be true.,Not Checkworthy,0,0,,
2465159,"Research suggests that expressive writing can, in fact, reduce negative thoughts.",Checkworthy,0,0,,
2465160,And boost your mood.,Not Checkworthy,0,0,,
2465161,And it doesn't take long.,Not Checkworthy,0,0,,
2465162,"In one study, people who were asked to spend 15 minutes writing down their thoughts on three separate occasions not only found that doing so improved the quality of their sleep, but it also reduced how often they had negative thoughts.",Checkworthy,0,0,,
2465163,"Of course, if you've just experienced a significant trauma or are feeling completely overwhelmed, it would be advisable to go to your GP or another health professional.",Not Checkworthy,0,0,,
2465164,"But if it's low-level anxiety, the sort of thoughts that are keeping you up at night, expressive writing really could help.",Not Checkworthy,0,0,,
2465165,And it may even boost your brain power.,Not Checkworthy,0,0,,
2465166,"Studies have shown that doing expressive writing before an exam can improve performance by offloading, distracting worrisome thoughts, and freeing up working memory.",Checkworthy,0,0,,
2465167,And the benefits don't seem to be simply psychological.,Not Checkworthy,0,0,,
2465168,"Recent studies have shown some surprising benefits of expressive writing on your physical health, such as your immune system.",Checkworthy,0,0,,
2465169,"Researchers in New Zealand, for example, asked a group of medical students to write about personal traumatic events the day before they were vaccinated.",Checkworthy,0,0,,
2465170,"Amazingly, six months after receiving the vaccine, these students had a stronger immune response and far higher antibody levels than a control group who merely had the vaccine.",Checkworthy,0,0,,
2465171,"Randomised controlled trials, the gold standard of studies, have also shown that asthma patients use less medication and arthritis patients feel less pain after doing expressive writing.",Checkworthy,0,0,,
2465172,"And encouragingly for patients recovering from cancer treatments, a small randomised controlled trial found that patients with early-stage breast cancer reported fewer coughs, headaches, less chest pain and stomach upset, and attended fewer cancer-related medical appointments in the months after they had written about their feelings compared to a control group.",Checkworthy,0,0,,
2465173,Professor James Pennebaker was the first scientist to investigate how expressive writing can benefit health back in the 1980s.,Checkworthy,0,0,,
2465174,I'll be speaking to him later in the programme.,Not Checkworthy,0,0,,
2465175,"First, let's find out how Julie is getting on with her writing challenge.",Not Checkworthy,0,0,,
2465176,I've just written my first expressive writing.,Not Checkworthy,0,0,,
2465177,It surprised me how much I've actually written and I have gone over the 15 minutes and didn't realise.,Checkworthy,0,0,,
2465178,I'm quite surprised how much I have written and how frank and honest it actually looks as well.,Not Checkworthy,0,0,,
2465179,I don't usually write during the day.,Not Checkworthy,0,0,,
2465180,Usually I'm typing at a computer screen or using my mobile phone so to actually pick up a pen was actually quite nice and the words just did seem to flow.,Not Checkworthy,0,0,,
2465181,"Wow, I'm glad that Julie got out her pen and wrote those thoughts away.",Not Checkworthy,0,0,,
2465182,We'll catch up with her again at the end of the week and see if she's still enjoying writing enough to make it just one thing she'll keep up.,Not Checkworthy,0,0,,
2465183,"But now to find out more about why expressive writing is so powerful, I'm speaking to the man who started it all, Professor James Pennebaker from the University of Texas, Austin.",Not Checkworthy,0,0,,
2465184,"Dr Pennebaker, tell me about that first study.",Not Checkworthy,0,0,,
2465185,"I was curious if writing about upsetting topics that people had kept secret, if that could be beneficial.",Not Checkworthy,0,0,,
2465186,"So the study, we brought people in the lab one at a time.",Checkworthy,0,0,,
2465187,We gave them instructions to write about their deepest thoughts and feelings about this upsetting experience that they hadn't talked much with others about.,Checkworthy,0,0,,
2465188,They would write for 15 minutes and then they'd come back the next day.,Checkworthy,0,0,,
2465189,We had another group running at the same time.,Checkworthy,0,0,,
2465190,They were asked to write about superficial topics.,Checkworthy,0,0,,
2465191,And then we simply just tracked how often they went to the doctor over the next several months.,Checkworthy,0,0,,
2465192,And what we found was that people who wrote about these traumatic experience ended up going to the doctor at far lower rates than people in our control conditions.,Checkworthy,0,0,,
2465193,Wow.,Not Checkworthy,0,0,,
2465194,Did they share what they were writing with others or was it intended to remain a secret but written down?,Not Checkworthy,0,0,,
2465195,We told them that we wanted to keep what they'd written and we would never connect it with who they were.,Checkworthy,0,0,,
2465196,They didn't read it to us or anybody else.,Checkworthy,0,0,,
2465197,"Right, because in standard therapy, you're supposed to talk it out.",Not Checkworthy,0,0,,
2465198,"But in this case, it was enough just to write it down.",Not Checkworthy,0,0,,
2465199,And they were asked to write about some of the most traumatic experiences of their lives.,Checkworthy,0,0,,
2465200,Did it have to be a major trauma to work?,Not Checkworthy,0,0,,
2465201,No.,Not Checkworthy,0,0,,
2465202,"What I usually ask people to do is, I want you to write about any experience that you're worried about that keeps recurring in your mind.",Not Checkworthy,0,0,,
2465203,"So, do you think it's that expressive writing in some ways helping clear your mind?",Not Checkworthy,0,0,,
