utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2465482,Hello and welcome to this podcast from the BBC World Service.,Not Checkworthy,0,4,Not Checkworthy,True
2465483,Please let us know what you think and tell other people about us on social media.,Not Checkworthy,1,4,Not Checkworthy,True
2465484,Podcasts from the BBC World Service are supported by advertising.,Not Checkworthy,1,4,Not Checkworthy,True
2465485,How does AI even work?,Not Checkworthy,1,4,Not Checkworthy,True
2465486,Where does creativity come from?,Not Checkworthy,1,3,Not Checkworthy,True
2465487,What's the secret to living longer?,Not Checkworthy,0,3,Not Checkworthy,True
2465488,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,Not Checkworthy,1,3,Not Checkworthy,True
2465489,"They will surprise, challenge and even change you.",Not Checkworthy,1,3,Not Checkworthy,True
2465490,Listen to NPR's TED Radio Hour wherever you get your podcasts.,Not Checkworthy,0,4,Not Checkworthy,True
2465491,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",Not Checkworthy,0,4,Not Checkworthy,True
2465492,"So if you were going to try just one thing to improve your mental and physical wellbeing, what should it be?",Not Checkworthy,0,3,Not Checkworthy,True
2465493,Perhaps the martial art of Tai Chi to improve your immune system.,Not Checkworthy,0,4,Not Checkworthy,True
2465494,Maybe a few nuts to slow ageing.,Not Checkworthy,1,2,Not Checkworthy,True
2465495,Or how about cleaning your teeth to give your brain a boost?,Not Checkworthy,1,1,Checkworthy,False
2465496,"I'm Dr Michael Moseley and this is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",Not Checkworthy,1,3,Not Checkworthy,True
2465497,"Nuts often get a bad press because they are high in fat, and they can cause life-threatening allergies, which is why they are rightly banned from places like schools and nurseries.",Checkworthy,2,1,Checkworthy,True
2465498,"But if, like me, you're able to eat nuts, this is definitely one thing you should start doing today.",Not Checkworthy,0,4,Not Checkworthy,True
2465499,These are amazing little nutritional powerhouses.,Not Checkworthy,1,2,Not Checkworthy,True
2465500,"When we eat them, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.",Not Checkworthy,0,2,Not Checkworthy,True
2465501,Eating nuts has even been linked to a longer life.,Checkworthy,2,2,Checkworthy,True
2465502,They give you lots of good fats and we'll discuss some surprising new research on how nuts can trim your waistline and even boost your brainpower.,Not Checkworthy,0,1,Not Checkworthy,True
2465503,"First though, I'm going to chat with Emma, who is a journalist from Surrey.",Not Checkworthy,0,3,Not Checkworthy,True
2465504,Let's see if a handful of nuts a day is just one thing she can fit into her diet.,Not Checkworthy,0,2,Not Checkworthy,True
2465505,"Hi, Emma.",Checkworthy,1,1,Checkworthy,True
2465506,"Hi, Mike.",Not Checkworthy,1,1,Checkworthy,False
2465507,Confessions time.,Not Checkworthy,0,2,Not Checkworthy,True
2465508,Are you a snacker?,Not Checkworthy,0,1,Not Checkworthy,True
2465509,"Yes, I definitely am.",Not Checkworthy,0,0,,
2465510,I'm a bit of a chocoholic.,Not Checkworthy,0,0,,
2465511,"Anything involving chocolate, even if it's chocolate-covered rice cakes or chocolate buttons.",Not Checkworthy,0,1,Not Checkworthy,True
2465512,I can feel my mouth salivating.,Not Checkworthy,0,0,,
2465513,I'm a huge fan.,Not Checkworthy,0,0,,
2465514,Do you have them in the house?,Not Checkworthy,1,0,Checkworthy,False
2465515,"I try and avoid it, but inevitably, if I've got a big deadline, I'll nip off to the shops to get something sweet.",Not Checkworthy,0,1,Not Checkworthy,True
2465516,"My eating habits are not as healthy as they should be, and I tend to crash in terms of energy levels quite regularly through the day.",Checkworthy,0,0,,
2465517,I think I'm relying too much on sugar.,Checkworthy,0,0,,
2465518,"Okay, so Emma, I'm going to ask you to do a hard thing.",Not Checkworthy,0,0,,
2465519,I'm going to ask you to put aside your regular snacks and have a small handful of nuts a day.,Not Checkworthy,0,1,Not Checkworthy,True
2465520,So it's about 30 grams if you want to weigh them out.,Checkworthy,0,0,,
2465521,This is a substitute.,Not Checkworthy,0,0,,
2465522,This is not in addition.,Not Checkworthy,0,0,,
2465523,I'll do my best.,Not Checkworthy,0,0,,
2465524,This could be a breakthrough for me.,Not Checkworthy,0,0,,
2465525,I've asked Emma to swap her usual sweet treats for a handful of nuts every day for a week.,Checkworthy,0,0,,
2465526,We'll see if she's cracked it later this week.,Not Checkworthy,0,1,Not Checkworthy,True
2465527,"The nutty thing, botanically speaking, is that most of the nuts we like to eat aren't actually nuts, which are defined as a dry fruit with a single seed encased in a hard shell.",Checkworthy,1,0,Checkworthy,True
2465528,"Based on this definition, chestnuts and hazelnuts are true nuts, while almonds and cashews are classified as droops.",Checkworthy,0,0,,
2465529,They have a fleshy outer layer.,Not Checkworthy,0,0,,
2465530,"Whether they are true nuts or droops, they are still packed full of good things like unsaturated fats, fibre and protein, as well as a number of compounds with antioxidant and anti-inflammatory properties, all of which are good for you.",Not Checkworthy,0,0,,
2465531,"So good, they may even slow the ageing process at the cellular level by preserving our telomeres.",Not Checkworthy,0,0,,
2465532,These are the protective caps at the ends of your chromosomes.,Not Checkworthy,0,0,,
2465533,"As we get older, the telomeres gradually shrink.",Not Checkworthy,0,0,,
2465534,"Eventually, they get too short to do their job and our cells can't function properly.",Not Checkworthy,0,0,,
2465535,"The longer those caps are, the younger your DNA is, and several studies have found a link between eating nuts and retaining the length of these telomeres.",Checkworthy,0,0,,
2465536,"As well as keeping your telomeres in good shape, eating nuts may reduce your risk of a whole range of diseases, including cancer, diabetes and heart disease.",Not Checkworthy,0,0,,
2465537,"A five-year Spanish intervention study involving over 7,000 older adults found that the group who were asked to eat nuts more than three times a week were over 40% less likely to die from cancer and 55% less likely from heart disease, compared to the control group who didn't.",Checkworthy,0,0,,
2465538,"And that was after controlling for other lifestyle factors like alcohol consumption, physical activity and smoking.",Checkworthy,0,1,Not Checkworthy,False
2465539,Those are some big numbers and you don't need to go nuts.,Not Checkworthy,0,1,Not Checkworthy,True
2465540,A handful a day is plenty.,Not Checkworthy,0,0,,
2465541,One thing that puts people off nuts is the fact that some are about 70% fat.,Checkworthy,1,0,Checkworthy,True
2465542,"But it's unsaturated fats, the sort that can actually benefit your heart health.",Not Checkworthy,0,1,Not Checkworthy,True
2465543,"A massive study involving more than 300,000 people found that eating more nuts is associated with reduced weight gain over a five-year period, as well as a lower risk of becoming overweight or obese.",Checkworthy,0,0,,
2465544,And do bear in mind the human brain is about 60% fat.,Checkworthy,1,0,Checkworthy,True
2465545,Our brains need fat to work well.,Not Checkworthy,0,1,Not Checkworthy,True
2465546,New research shows that eating nuts can actually give your thinking skills a boost.,Not Checkworthy,0,0,,
2465547,How?,Not Checkworthy,1,0,Checkworthy,False
2465548,"Well, we'll crack into that with an expert in a moment.",Not Checkworthy,0,1,Not Checkworthy,True
2465549,"But first, let's find out how Emma is getting on.",Not Checkworthy,0,0,,
2465550,So this is day four of my nut snack adventure.,Not Checkworthy,0,0,,
2465551,I'm really enjoying it so far.,Not Checkworthy,0,0,,
2465552,I weigh out my nuts in the morning.,Checkworthy,0,0,,
2465553,"I've been eating them generally at around 11 o'clock, so as a morning snack.",Checkworthy,0,0,,
2465554,I do find them quite good to munch on.,Not Checkworthy,0,0,,
2465555,I have been finding nuts quite satisfying.,Not Checkworthy,0,0,,
