utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2465307,Hello and welcome to this podcast from the BBC World Service.,Not Checkworthy,3,1,Checkworthy,False
2465308,Please let us know what you think and tell other people about us on social media.,Not Checkworthy,2,1,Checkworthy,False
2465309,Podcasts from the BBC World Service are supported by advertising.,Not Checkworthy,2,0,Checkworthy,False
2465310,How does AI even work?,Not Checkworthy,1,1,Checkworthy,False
2465311,Where does creativity come from?,Not Checkworthy,1,1,Checkworthy,False
2465312,What's the secret to living longer?,Not Checkworthy,1,1,Checkworthy,False
2465313,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,Not Checkworthy,1,0,Checkworthy,False
2465314,"They will surprise, challenge and even change you.",Not Checkworthy,1,0,Checkworthy,False
2465315,Listen to NPR's TED Radio Hour wherever you get your podcasts.,Not Checkworthy,0,1,Not Checkworthy,True
2465316,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",Not Checkworthy,1,0,Checkworthy,False
2465317,"So if you were going to try just one thing to improve your mental and physical well-being, what should it be?",Not Checkworthy,0,1,Not Checkworthy,True
2465318,Perhaps the martial art of Tai Chi to improve your immune system.,Not Checkworthy,1,0,Checkworthy,False
2465319,Maybe a few nuts to slow aging.,Not Checkworthy,1,0,Checkworthy,False
2465320,Or how about cleaning your teeth to give your brain a boost?,Not Checkworthy,0,1,Not Checkworthy,True
2465321,"I'm Dr Michael Moseley and this is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",Not Checkworthy,2,0,Checkworthy,False
2465322,It's lunchtime,Not Checkworthy,0,1,Not Checkworthy,True
2465323,and I'm throwing together a vegetarian curry.,Not Checkworthy,0,1,Not Checkworthy,True
2465324,I've got the onions here and now they go into the frying pan.,Not Checkworthy,0,1,Not Checkworthy,True
2465325,You can hear them sizzle away.,Not Checkworthy,0,1,Not Checkworthy,True
2465326,Leave that for a moment.,Not Checkworthy,0,1,Not Checkworthy,True
2465327,And now to the most important part.,Not Checkworthy,0,1,Not Checkworthy,True
2465328,I'm about to add in something that could boost my mood and my memory and it may even reduce inflammation.,Not Checkworthy,1,0,Checkworthy,False
2465329,I'm adding turmeric.,Not Checkworthy,0,1,Not Checkworthy,True
2465330,"You can buy it fresh or as a dried spice, which is what I'm using, or even take it as a supplement.",Not Checkworthy,1,0,Checkworthy,False
2465331,"Okay, I think the onions are looking rather golden now and time to add in the turmeric powder.",Not Checkworthy,0,1,Not Checkworthy,True
2465332,"Wow, it's got a wonderfully bright colour and quite a strong aroma as well.",Not Checkworthy,0,1,Not Checkworthy,True
2465333,"Now, turmeric is a close relative of ginger and if you buy it fresh, it has a similar knobbly, root-like look, but inside it's this vibrant yellow-orange.",Checkworthy,0,1,Not Checkworthy,False
2465334,The colour comes from a substance within it called curcumin and that's the compound scientists think is the key to turmeric's benefits for the brain and body.,Checkworthy,1,0,Checkworthy,True
2465335,"Turmeric has been widely used for millennia in many parts of the world, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing it could be especially beneficial for some types of pain.",Checkworthy,1,0,Checkworthy,True
2465336,So is this something you'd like to use more?,Not Checkworthy,0,1,Not Checkworthy,True
2465337,"I'm speaking to Yushi, an office worker.",Checkworthy,0,1,Not Checkworthy,False
2465338,Let's see if spicing up her life with turmeric is just one thing she'd like to do.,Not Checkworthy,0,1,Not Checkworthy,True
2465339,Hi there.,Not Checkworthy,0,1,Not Checkworthy,True
2465340,Hello.,Not Checkworthy,0,1,Not Checkworthy,True
2465341,"Now, first of all, do you enjoy cooking?",Not Checkworthy,0,1,Not Checkworthy,True
2465342,I do enjoy cooking,Not Checkworthy,0,1,Not Checkworthy,True
2465343,but I wish I had a bit more time to try different recipes.,Not Checkworthy,0,1,Not Checkworthy,True
2465344,"Right, and have you ever cooked with turmeric before?",Not Checkworthy,0,1,Not Checkworthy,True
2465345,I haven't actually.,Checkworthy,0,1,Not Checkworthy,False
2465346,I've been wanting to incorporate more spices in my cooking.,Checkworthy,0,1,Not Checkworthy,False
2465347,"Turmeric, as you may well know, is widely used in curries",Checkworthy,1,0,Checkworthy,True
2465348,"but it's also delicious in scrambled eggs, soups and yogurts or a turmeric pancake.",Not Checkworthy,0,1,Not Checkworthy,True
2465349,"What I want you to do is to add one teaspoon a day to your cooking, could be breakfast, lunch or supper, however you want to do it, but one teaspoon a day.",Not Checkworthy,1,0,Checkworthy,False
2465350,Do you think you can manage that?,Not Checkworthy,0,1,Not Checkworthy,True
2465351,That sounds okay.,Not Checkworthy,0,1,Not Checkworthy,True
2465352,"Yeah, I'm definitely up for giving it a go.",Not Checkworthy,0,1,Not Checkworthy,True
2465353,Be aware that it is a very bright yellow colour and it can stain.,Not Checkworthy,0,1,Not Checkworthy,True
2465354,That sounds good.,Not Checkworthy,0,1,Not Checkworthy,True
2465355,Thanks for the heads up.,Not Checkworthy,0,1,Not Checkworthy,True
2465356,"I've asked Yushi to spice things up with turmeric because this golden-hued powder not only adds colour and flavouring to food, it's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.",Checkworthy,1,0,Checkworthy,True
2465357,The link between turmeric and health is nothing new.,Not Checkworthy,0,1,Not Checkworthy,True
2465358,It's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,Checkworthy,1,0,Checkworthy,True
2465359,"Over the last couple of decades or so, scientific research into turmeric and in particular into its active ingredient curcumin has exploded, with lots of studies exploring the health effects of this golden spice.",Checkworthy,1,0,Checkworthy,True
2465360,And some of the findings have been impressive.,Not Checkworthy,0,1,Not Checkworthy,True
2465361,Let's start with the brain.,Not Checkworthy,0,1,Not Checkworthy,True
2465362,"A Singaporean study in 2022, following 2,700 older people for nearly five years, found those who ate a lot of turmeric-rich curries, like korma, kept their brains in better shape, when measured for things like working memory and problem-solving, than those who didn't.",Checkworthy,1,0,Checkworthy,True
2465363,"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.",Checkworthy,1,0,Checkworthy,True
2465364,"Now, a big problem with curcumin is that normally very little of it gets absorbed.",Not Checkworthy,0,1,Not Checkworthy,True
2465365,"So the scientists think that one of the reasons why they saw such good results in their study is because when you consume curcumin with fat and certain spices, this helps your body to absorb more of it.",Checkworthy,1,0,Checkworthy,True
2465366,It's a great excuse to add it to curry.,Not Checkworthy,0,1,Not Checkworthy,True
2465367,"And if you don't fancy curry, then you might consider a curcumin supplement.",Not Checkworthy,0,1,Not Checkworthy,True
2465368,"In an Australian study where they gave curcumin in pill form to 80 older individuals, they found that compared to placebo, taking the supplements improved working memory and reduced fatigue.",Checkworthy,1,0,Checkworthy,True
2465369,One way it might be working is by reducing inflammation.,Not Checkworthy,1,0,Checkworthy,False
2465370,"In a recent Japanese study where overweight but otherwise healthy participants were randomly allocated to placebo or curcumin extract, they found those taking the supplements had lower levels of an inflammatory marker in the blood called C-reactive protein.",Checkworthy,1,0,Checkworthy,True
2465371,"And as we'll discover in a moment, it appears turmeric can also relieve pain.",Not Checkworthy,0,1,Not Checkworthy,True
2465372,I'll be delving into that with an expert shortly.,Not Checkworthy,0,1,Not Checkworthy,True
2465373,"But first, let's check in with Yushi.",Not Checkworthy,0,1,Not Checkworthy,True
